Algoritmo,Max_repeticiones,Longitud,Tiempo
1,5,1022,0.0032722949981689453
0,5,1529,0.1618514060974121
2,6,1495,0.0693824291229248
1,5,1059,0.003492116928100586
0,4,1153,0.08812546730041504
2,6,1656,0.08329367637634277
0,7,1771,0.2164294719696045
1,6,1646,0.00577545166015625
2,6,1709,0.08764457702636719
1,6,1453,0.00495457649230957
2,5,1408,0.0592341423034668
1,5,1526,0.0052051544189453125
2,5,1772,0.09673905372619629
2,5,1744,0.09371519088745117
1,5,1526,0.005242586135864258
2,5,1528,0.07257342338562012
0,4,1151,0.08749818801879883
2,4,1299,0.05106496810913086
2,4,1046,0.0319826602935791
1,6,1133,0.00436854362487793
2,5,1521,0.07058548927307129
2,5,1362,0.05669093132019043
1,5,1360,0.004628181457519531
0,5,1691,0.1953270435333252
2,6,1300,0.05323290824890137
1,5,1166,0.003874540328979492
2,4,1169,0.0406804084777832
2,5,1560,0.07460999488830566
2,4,1281,0.04981851577758789
1,4,1252,0.00499725341796875
2,5,1544,0.07401847839355469
2,4,1013,0.030582904815673828
1,5,1565,0.005398273468017578
0,5,1500,0.15112519264221191
2,6,1744,0.0922083854675293
0,6,1018,0.06704449653625488
0,6,1771,0.21670961380004883
0,5,1689,0.19916582107543945
2,5,1392,0.05899310111999512
0,5,1760,0.21265697479248047
1,6,1730,0.00605010986328125
0,6,1526,0.15927553176879883
0,5,1391,0.12996172904968262
2,5,1068,0.03467369079589844
0,5,1266,0.10752153396606445
1,6,1564,0.005390644073486328
1,5,1384,0.004686117172241211
2,5,1567,0.07739853858947754
2,6,1471,0.06780862808227539
1,5,1593,0.0054683685302734375
0,5,1559,0.1673119068145752
0,6,1557,0.16500139236450195
0,5,1447,0.140883207321167
0,5,1385,0.1288166046142578
0,5,1667,0.19008445739746094
0,5,1611,0.1771712303161621
2,4,1283,0.05122017860412598
0,4,1087,0.07660460472106934
0,5,1448,0.14135408401489258
0,6,1262,0.10816454887390137
2,4,1105,0.03655242919921875
1,5,1655,0.0057468414306640625
2,5,1642,0.08246636390686035
0,3,1085,0.07811713218688965
0,7,1547,0.16051769256591797
2,5,1432,0.061972618103027344
2,4,1150,0.04013204574584961
1,5,1768,0.006175994873046875
1,4,1060,0.0035316944122314453
1,5,1610,0.00556635856628418
1,5,1141,0.0038251876831054688
0,5,1636,0.18233346939086914
0,5,1450,0.14094138145446777
0,5,1569,0.16742539405822754
1,4,1018,0.003241300582885742
0,4,1147,0.08742785453796387
1,4,1172,0.003882169723510742
2,5,1717,0.09163165092468262
0,5,1680,0.19403433799743652
2,4,1036,0.03279995918273926
0,4,1259,0.10630011558532715
0,5,1775,0.21557307243347168
2,4,1138,0.03901338577270508
2,6,1387,0.05778980255126953
1,5,1230,0.00411534309387207
1,4,1206,0.004017829895019531
1,5,1733,0.005999088287353516
0,5,1006,0.06735110282897949
2,5,1425,0.06199979782104492
0,4,1520,0.15601515769958496
2,5,1126,0.03952765464782715
0,4,1066,0.07385039329528809
0,5,1671,0.1896662712097168
1,5,1597,0.005479335784912109
1,6,1509,0.005194425582885742
1,6,1243,0.004161834716796875
2,5,1681,0.0875101089477539
0,4,1493,0.1512000560760498
2,5,1353,0.05396699905395508
0,5,1059,0.07339167594909668
0,4,1433,0.13909053802490234
1,4,1600,0.0054738521575927734
0,5,1518,0.156463623046875
2,5,1684,0.08564472198486328
1,5,1566,0.005385398864746094
1,5,1295,0.0043604373931884766
0,6,1695,0.1960444450378418
2,6,1775,0.09623312950134277
0,4,1025,0.06799793243408203
1,6,1780,0.006317138671875
2,4,1030,0.03293967247009277
0,6,1403,0.13477110862731934
1,5,1345,0.004673480987548828
0,4,1593,0.17203187942504883
1,4,1012,0.0032050609588623047
2,4,1339,0.0554349422454834
0,5,1184,0.09285616874694824
0,5,1563,0.168287992477417
2,6,1763,0.09416604042053223
1,5,1621,0.005591630935668945
0,4,1157,0.08862805366516113
1,4,1071,0.0035142898559570312
0,5,1675,0.19306087493896484
0,4,1100,0.08002018928527832
1,5,1540,0.005262851715087891
2,5,1417,0.06142854690551758
0,5,1031,0.06921076774597168
1,4,1353,0.004626035690307617
2,6,1431,0.06215405464172363
2,4,1262,0.048194169998168945
1,5,1493,0.005082607269287109
2,4,1076,0.034319162368774414
2,5,1205,0.04338860511779785
0,5,1072,0.07490849494934082
0,5,1081,0.07805037498474121
2,4,1038,0.03182816505432129
0,5,1254,0.10586166381835938
1,6,1735,0.005983114242553711
1,4,1490,0.005094766616821289
2,4,1716,0.09017610549926758
0,5,1690,0.19520258903503418
2,5,1283,0.050185441970825195
1,4,1280,0.004550933837890625
0,5,1334,0.1194312572479248
0,5,1218,0.09868741035461426
2,5,1154,0.03998541831970215
2,4,1326,0.054775238037109375
2,4,1059,0.033632516860961914
2,5,1333,0.053037166595458984
0,5,1566,0.16464972496032715
1,5,1380,0.004669904708862305
1,5,1382,0.004663944244384766
0,5,1618,0.17759966850280762
1,5,1444,0.004911661148071289
0,5,1652,0.1868114471435547
1,5,1422,0.004979848861694336
0,5,1416,0.1339271068572998
1,7,1694,0.005853891372680664
1,5,1486,0.005138874053955078
0,5,1442,0.13980484008789062
2,5,1391,0.05742001533508301
2,4,1250,0.04845261573791504
0,4,1277,0.11004114151000977
0,5,1140,0.08466529846191406
0,3,1000,0.06597661972045898
1,5,1665,0.005833148956298828
0,4,1467,0.14602017402648926
0,6,1749,0.20564603805541992
2,5,1552,0.0728609561920166
2,4,1098,0.03676295280456543
0,6,1581,0.16939544677734375
0,5,1311,0.1153104305267334
2,4,1421,0.06135106086730957
2,4,1427,0.06242108345031738
1,5,1159,0.003844022750854492
1,6,1571,0.0053844451904296875
1,7,1641,0.0056552886962890625
0,4,1406,0.13273119926452637
2,7,1761,0.09464502334594727
1,5,1716,0.005934238433837891
2,4,1133,0.039954185485839844
0,5,1319,0.11521530151367188
0,6,1677,0.19163274765014648
1,5,1127,0.0037348270416259766
1,5,1220,0.004064798355102539
0,5,1798,0.2196815013885498
0,5,1702,0.1985182762145996
2,5,1435,0.06296753883361816
1,5,1538,0.005268096923828125
1,5,1609,0.005525112152099609
2,4,1128,0.038845062255859375
0,5,1514,0.15693449974060059
2,6,1257,0.048696041107177734
1,4,1442,0.004903078079223633
1,5,1364,0.0046045780181884766
2,5,1396,0.05856585502624512
0,6,1761,0.21178340911865234
0,7,1526,0.15715718269348145
0,5,1079,0.07837176322937012
2,6,1206,0.043677568435668945
1,5,1788,0.006184577941894531
0,5,1536,0.16256165504455566
1,6,1435,0.004874229431152344
1,5,1222,0.004080295562744141
1,5,1410,0.0047533512115478516
2,5,1434,0.06253385543823242
0,4,1083,0.07715463638305664
1,5,1603,0.005639553070068359
1,5,1635,0.0056798458099365234
0,4,1463,0.14413785934448242
1,4,1159,0.0038530826568603516
0,4,1333,0.12061476707458496
2,5,1759,0.09502482414245605
2,4,1222,0.0444791316986084
1,5,1517,0.005162715911865234
2,5,1051,0.03321957588195801
0,4,1477,0.14835286140441895
1,5,1501,0.0051195621490478516
0,7,1566,0.16769146919250488
0,5,1717,0.20325374603271484
1,4,1205,0.0040242671966552734
1,4,1133,0.003732442855834961
1,6,1757,0.006070375442504883
2,5,1238,0.04711556434631348
2,4,1428,0.061937570571899414
0,5,1692,0.19645428657531738
1,5,1077,0.003563404083251953
0,6,1497,0.15097403526306152
2,5,1519,0.06917738914489746
1,5,1702,0.00597834587097168
0,5,1613,0.17581462860107422
1,5,1170,0.0038938522338867188
1,5,1626,0.005631208419799805
1,5,1076,0.003539562225341797
2,4,1381,0.05470395088195801
1,5,1181,0.003929853439331055
1,6,1721,0.005949735641479492
2,5,1258,0.04674482345581055
1,5,1365,0.004614353179931641
0,4,1244,0.10376310348510742
1,6,1546,0.0053730010986328125
2,6,1764,0.09661722183227539
1,5,1583,0.005443096160888672
2,5,1622,0.08173990249633789
1,6,1753,0.006192445755004883
