NUMERO,PREMIO
86913,1000
84968,1000
58751,1000
89004,1000
17634,1000
62985,1000
51184,1000
63487,1000
8507,1000
90135,1000
2234,1000
47807,1000
24500,1000
477,1000
62537,1000
54934,1000
73829,1000
69676,1000
2273,1000
51892,1000
17033,1000
29207,1000
39594,1000
24742,1000
2173,1000
37392,1000
78580,1000
99020,1000
13105,1000
77179,1000
43230,1000
81908,1000
94994,1000
25333,1000
88437,1000
86961,1000
8382,1000
70860,1000
31347,1000
71437,1000
90188,1000
27385,1000
25791,1000
27215,1000
73055,1000
4770,1000
27979,1000
99976,1000
64595,1000
8483,200000
39981,1000
56175,1000
36837,1000
64901,1000
55225,1000
84963,1000
653,1000
57391,1000
83098,1000
83738,1000
77411,1000
40810,1000
79907,1000
38381,1000
574,1000
51259,1000
69626,1000
94283,1000
6965,1000
55601,1000
49778,1000
43894,1000
59408,1000
78438,1000
29578,1000
71162,1000
50851,1000
46018,1000
85133,1000
50201,1000
87797,1000
57646,1000
60596,1000
78481,1000
48004,1000
84072,1000
12213,1000
54399,1000
25146,1000
77720,1000
93416,1000
61330,1000
55325,1000
72708,1000
52099,1000
22291,1000
44671,1000
81786,1000
18412,1000
979,1000
12574,1000
37100,1000
37256,1000
95075,1000
10531,1000
23330,1000
72607,1000
17058,1000
16420,1000
44138,1000
23102,1000
42011,1000
73638,1000
98658,1000
32051,1000
67800,1000
72540,1000
56970,1000
81418,1000
80933,1000
4598,1000
9916,1000
96782,1000
32648,1000
75421,1000
73268,1000
99203,1000
78428,1000
17717,1000
42527,1000
99477,1000
86044,1000
28181,1000
87959,1000
98921,1000
22737,1000
440,1000
82372,60000
42132,1000
15878,1000
79782,1000
61217,1000
32709,1000
19758,1000
96356,1000
1882,1000
80992,1000
50830,1000
46634,1000
39947,1000
2575,1000
12043,1000
67597,1000
61787,1000
39106,1000
924,1000
7251,1000
25673,1000
47285,1000
49580,1000
18538,1000
18478,1000
80200,1000
54373,1000
51779,1000
81371,1000
25157,1000
49554,1000
92956,1000
79897,1000
83475,1000
22256,1000
38903,1000
36243,1000
41241,1000
24341,1000
92432,1000
98839,1000
42639,1000
25181,1000
94156,1000
44352,1000
6425,1000
72217,1000
65968,1000
39679,1000
73107,1000
88786,1000
24263,1000
65876,1000
98249,1000
9104,1000
52074,1000
23709,1000
91609,1000
27786,1000
39445,1000
31656,1000
15932,1000
17909,1000
53634,1000
27303,1000
19065,1000
67834,1000
73435,1000
43702,1000
38702,1000
64730,1000
94034,1000
93009,1000
42705,1000
46227,1000
75643,1000
88330,1000
50453,1000
56279,1000
35957,1000
12668,1000
79906,1000
45148,1000
15793,1000
72801,1000
95306,1000
21631,1000
3345,1000
62861,1000
35680,1000
24127,1000
30461,1000
33595,1000
81061,1000
7475,1000
64259,1000
42667,1000
56095,1000
96584,1000
18666,1000
25062,1000
20219,1000
29467,1000
2978,1000
96328,1000
67881,1000
62055,1000
61603,1000
17031,1000
66233,1000
25779,1000
99791,1000
37360,1000
65673,1000
20141,1000
94470,1000
15600,1000
82789,1000
25431,1000
30415,1000
14450,1000
41052,1000
76612,1000
45305,1000
50679,1000
70202,1000
13748,1000
83052,1000
98338,1000
56022,1000
36145,1000
96725,1000
557,1000
13219,1000
25059,1000
5529,1000
8480,1000
69843,1000
69948,1000
12720,1000
47166,1000
9661,1000
27216,1000
12239,1000
45745,1000
38303,1000
15620,1000
22230,1000
51363,1000
49972,1000
68993,1000
28289,1000
45443,1000
26112,1000
94939,1000
27296,1000
50514,1000
56682,1000
57454,1000
89547,1000
62737,1000
89455,1000
57159,1000
63023,1000
71102,1000
36484,1000
88742,1000
46404,1000
91746,1000
3567,1000
56066,1000
94368,1000
86822,1000
68568,1000
65022,1000
32653,1000
25373,1000
97432,1000
58043,1000
52179,1000
88179,1000
66767,1000
61983,1000
54287,1000
33067,1000
66708,1000
46814,1000
8365,1000
40526,1000
63682,1000
92107,1000
31952,1000
23593,1000
43923,1000
54658,1000
71345,1000
5394,1000
67614,1000
33460,1000
78798,1000
90677,1000
64795,1000
76689,1000
38716,1000
59983,1000
96514,1000
66313,1000
78011,1000
8094,1000
10625,1000
71382,1000
48372,1000
35817,1000
32537,1000
13559,1000
67641,1000
62618,1000
22629,1000
62100,1000
68574,1000
78169,1000
78337,1000
14788,1000
47186,1000
85828,1000
34704,1000
42027,1000
55881,1000
91225,1000
57934,1000
12301,1000
43000,1000
67626,1000
7336,1000
7977,1000
10825,1000
20393,1000
87596,1000
1613,1000
64980,1000
92003,1000
91882,1000
19736,1000
73494,1000
87038,1000
32269,1000
1251,1000
80037,1000
75516,1000
31930,1000
65594,1000
82069,1000
41732,1000
54553,1000
3331,1000
29129,1000
98337,1000
38676,1000
84627,1000
49484,1000
27794,1000
51200,1000
71275,1000
48084,1000
31004,1000
67904,1000
27119,1000
1097,1000
92391,1000
20214,1000
48873,1000
31151,1000
74973,1000
89967,1000
49416,1000
9726,1000
78611,1000
74421,1000
1161,1000
40643,60000
12854,1000
91371,1000
36053,1000
45057,1000
82317,1000
